Year,State,County,Observed
2012.0,Florida,Sarasota,"My husband and I were driving home on I-75, the day after Christmas. Our car just started to accelerate after being in traffic for over an hour due to an accident. My husband was watching the cars closely and I was observing the environment on my left side, as I normally do on a road trip. I looked over to my right and saw something large and black about a football field distance away. At first it looked like it wasn't moving, but I kept watching and after a few seconds I saw an arm extend and it move forward towards the woods. My first instinct was to think it was a bear, but then as I continued to fixate on the animal, I realized it had very long black hair and was extremely broad in the shoulder/lat area. I continued to watch it move forward  very slowly and realized it was in a crouched position but looked as flat and large as the top of a car, from my view. The whole experience was very surreal to me and I think I'm still in shock. The whole length of my viewing time was approximately 5-7 seconds."
2008.0,Florida,Seminole,"On Monday, June 30, 2008, between 5:00 a.m. and 5:15 a.m., I had the experience of hearing a chilling and unexplained sound.  I was taking numerous boxes and garbage bags from the garage to the end of my driveway at the street for trash pickup.  I had made approximately 6 trips back and forth when, after laying a box down at the curb, I heard something that made me stop in my tracks.  I experienced what I first thought was the start of a loud siren, a loud and ascending WHOOOOO, coming from across the street.  The sound came from a tree line about 200 feet away at the edge of Horseshoe Lake.  There are empty grated lots directly across the street from my house (about 125 feet deep) and then approximately another 25 feet or more of dense palmetto scrub and primarily pines and loblolly bay trees down to the lake shore.  The sound continued to ascend in pitch and when the pitch didnt change like that of a siren and I realized that a siren would not be coming from that direction, but rather from the highway behind our house, I felt somewhat panicked.  The sound ended in a booming OOP.  The entire whoop was long in duration and went from a low to high pitch.  It seemed to be aimed directly towards me and was extremely far carrying in tone.  I immediately felt the hair on the back of my neck stand up.  When my brain could not place the sound with any animal or bird that I am familiar with, I became very frightened at thinking that a man was watching me and calling out.  I started to take some steps backward towards the garage in anticipation that I would see something moving towards me across the empty lot.  Within seconds of the WHOOP, an owl called out with a common hooting from the top of a tree in that same area, as if it had been startled.  The owls voice was very distinct from the other sound in the loudness and the way it carried, as well as the elevation of the source of the sound.  I went back into the garage and waited for about 5 minutes there to listen for any other sounds, but only heard the frogs that are common at that time.  Although still dark, there were clear skies at the time, and I could see the silhouette of the tree line.  My side of the street was dimly lit by the lights in the garage and street lights a short distance away.  I go out at this time every morning to haul trash and to take my dog for a quick walk out to the mailbox, and I am used to hearing numerous types of frogs, owls, and whippoorwills. As I stood there, logic told me that even a large man could not have made the resonating sound that I heard from that distance away."
2003.0,Florida,Seminole,"Camping by a lake with family. Step brother took me to go get firewood from a clearing. The clearing was about 50 feet in diameter. Firewood was stacked outside the perimeter. I was about 14 years old at the time. My step brother was telling me how he would protect me if we came in contact with a bear. I was kinda frightened camping and being alone in the dark so he told me that to comfort me. Well when we arrived to the clearing we split up to get firewood. So I walked to the very outer rim and bent down to pick up a piece of wood. At first I heard a growl like a bear... I was stunned. I immediately looked for my step brother to tell him to knock it off. He looked at me and said I didn't do anything what are you talking about. As soon as he said that to my left in the dense tree brush I saw out of the corner of my eye a tall dark figure stand up about 8-9 feet tall (approximation but it was huge). It then grabbed two nearby small trees and began to shake them and my eyes lit up. My brother ran over to see what was happening and then took one look and bolted off to the other side back to camp leaving me. I ran to him screaming and I guess he felt bad doubled back to pick me up and then ran back to the campsite. This is important to note that it was not an alligator or a bear or anything I can identify that can reach that height standing like a person. I am a non-denominational christian and I don't necessarily believe in ""bigfoot"". But what I saw really does put me off and fits the description to the T. Im now stationed in Colorado in the United States Army and cant wait to go back to Florida."
2011.0,Florida,St. Johns,"My son and I were out fishing one night in July of 2011 at about 1am on friday night at the Matanza bridge back waters, this is on A1A in Florida. at about 2:00 am, we heard this really weird sound of howling and grunts so we sat there for about 25 minutes or so and the sound kept getting louder and closer to where we were parked. My son said to me dad did you see that, I said what and he said something really big was approaching where we were parked sitting in the car. So he winded up the window and said we better leave, so i said no just wait a little bit longer and lets see if it will come back. after about another 10 minutes or so the howling began again but this time it seemed to be more than one howl, as if there was a reply to the deeper howl. So I told him to start the car and lets get out of the area. Well he did so and we were leaving the area and after we traveled about 100 yards or so there it was one of the biggest Bigfoots right in front of us. It was about 9 feet tall really hairy and walking with a slight crouched posture, It was headed East to the ocean. I saw it briefly as we passed to where it crossed the road but it was moving really fast, not running just really long strides. It looked back briefly and went under the bridge and out to the ocean."
2002.0,Florida,St. Johns,"Last year my brother and I were hog hunting in the Guana River WMA in St Johns County, FL.  There was a lot of activity in the woods that day as this place gets crowded during hog hunts.  We were the last hunters to leave and we were talking to the check station attendant (biologist).  It was about an hour after dark and it was starting to get cold.  There was only a propane heater and latern running at the check station.  The Game Wardens had cleared the WMA of all vehicles, so we know that we were the only ones left in the area."
2005.0,Florida,St. Johns,This happened tonight.
2011.0,Florida,Sumter,"Shaking of trees immediately upon getting out of truck. We were going hunting. Heard some knockings off in the distance. Walking down the trail, we could smell a foul smell (later we found the source which was a dead hog, couldn't tell if something had killed it and ate it or if it was shot and scavenged upon). Later while hunting we climbed up a small hill and I spotted something behind a large tree stump. I didn't say anything and the other witness pointed it out immediately too. We left the woods then."
2012.0,Florida,Sumter,"Going on CR48 in Bushnell heading to CR 575, on the corner at the Wahoo Baptist Church he was next to wild pigs, trying to look like the rock next to him. He was bent over like a big round rock. Had a lot of hair.. and was very large....."
2010.0,Florida,Sumter,hi my name is eric and i felt i needed to write this.me and 3 friends were camping in richlom wild life management area on labor day weekend we were just sitting around the fire when all of the sudden i noticed it got very quiet and all the bugs disappered then we haerd what sounded like a tree being up rooted so we grabbed the spotlight and started searching what it was we found a good sized pine tree half pushed over then we sat back down and as soon as we did we haerd a very very odd growl then we stood back up and started panning the spotlight when we saw a very hairy 11ft object we stood motionless as we looked at it then it darted off and then thats when i left camp site and went home my number is *** *** **** if you have any questions thank you.
2009.0,Florida,Sumter,Me and my 17 year old son were hunting at richloam wildlife management area. we had been walking through  the swamps all morning and on various occasions there was a really fowl smell that would come and go. At that time I just figured it was the swamp.
2009.0,Florida,Sumter,Me and my father were hunting at richloam wildlife management area. we had been walking through the swamps all morning and on various occasions there was a really fowl smell that would come and go. At that time I just figured it was the swamp.
2011.0,Florida,Suwannee,"I was out behind my house smoking, walking my dogs around 6:30 pm, just before dark. My back yard is grass for about 100 yards then it is medium to heavy woods (about 4 acres total)."
2007.0,Florida,Suwannee,"I live in Suwannee County 3mi from the intersection of I75 and I10. If you drew a line through the 2 Suwannee Co. sightings you show on this site, the line would go thru my house. A creek that feeds Rocky Creek, which is the creek featured in the Wellborn sighting runs 250 yards from my front door. Beavers have dammed it up and now there is a huge swamp as a result. I was walking near the swamp 3 days ago and found a footprint that measured 16in long. Conveniently the only camera i have is broken. Last night I heard a vocalization that would make your blood run cold. It was very similar to vacalizations on your site, though much loger in duration and higher pitched. It was followed by three thumps that sounded like wood being knocked together. I had a broken shovel handle in my flowerbed, and i responded by knoking the same pattern. It respoded with three more knocks. 30 seconds later i heard a similar vocalization much further away and lower pitched. im still freaking out."
2006.0,Florida,Suwannee,"I was driving on I-10 in the early morning hours.  There weren't any other cars for miles. My friend who was riding with me was unfortunately asleep so she didn't see it. I looked over into the other lane and saw this dark man-like figure crossing the road.  It was really tall, I'd say about 6ft or so.  I walked rather wierd like an ape. I couldn't see any specific colors because of the light but I'd say it was dark brown. That's all I can remember."
2012.0,Florida,Volusia,Driving through  Florida and saw two large eyes about 6 feet off the ground. He was hiding behind a tree. We saw it when I turned on my high beams around midnight. We didn't get a good look at it but it was big.
2012.0,Florida,Volusia,"I was out in the woods with two of my sons (16 & 18) and as we were leaving I saw some movement didn't think much of it. As we got up the trail by where I saw movement one of my sons noticed some foot prints, that were larger than normal and right next to some deer tracks. Then my other son described exactly what I saw even though I never described what I saw. Earlier in the day we saw a strange ""footprint"" in the mud also."
2011.0,Florida,Volusia,Me and my buddy were out in the woods hunting in Pierson Florida on ninemile rd we were driving out and I noticed something big and brown in the ditch on the side of the road crouching down then it stood up and walked back and fourth across the road then crouching back down we know for a fact it wasn't human it was about nine feet tall.
2007.0,Florida,Volusia,"A friend and I were fishing late into the night and early morning in a remote area in between Ormond Beach and Flagler Beach next to a small bridge on Walter Boardman Lane. The friend of mine noticed a set of eyes shining in the woods while looking down a small trail. We were wearing headband style flash lights and he told me to check it out. As I looked down the trail it was very obvious to me that the eyes were far enough apart and high enough off of the ground to justify being concerned. I convinced myself and my friend that whatever it may be, its more afraid of us than we were of it. A while later, maybe 20 minutes or so, he mentioned that it was still there starring at us. I walked slightly closer to the opening of the trail in an attempt to make out what it may have been, but still couldn't tell. A few minutes later, same thing... it was still there and still starring towards us. I tried to make noise and decided to yell at it. It apparently wasn't too concerned b/c it didn't so much as blink or move. We again convinced ourselves that it was nothing to be afraid of. We continued with fishing and not long after my friend noticed that it had finally moved on. We thought nothing more of it until I got the biggest scare of my adult life. As I was standing there, something let out the deepest, slowest growl that I've ever heard in my life. It sounded as though it was standing directly behind me and very close. I turned to look at my friend and the look on his face told me that I was not hearing things. Without a second thought or a spoken word, we dropped our fishing poles and ran as fast as we could to the truck. We jumped in and locked up tight. My first question was if he had heard it and his response was ""yes, what was that?"" We were so scared that we weren't sure what to do. The decision was made a couple of minutes later to start the truck and turn on the headlights. He raced the engine and blew the horn repeatedly. Even after a few minutes of doing this and feeling sure that whatever is was had to have left the area, we were still VERY hesitant to retrieve our fishing gear. After a long while of deciding, we very quickly jumped out, THREW our things into the back of the truck, and left. We had both lived in Florida for some time. We spent a lot of time on the water and in the woods, fishing and camping in remote locations. Never before, NEVER, have I heard anything like it. I can say 100% that it WAS NOT an alligator or a bear. Beyond that I have no idea. I do know that whatever is may have been convinced two grown men, both of them, to immediately go out and purchase handguns to carry during each and every future outing! Not sure where the sound clips of the growls come from on the ""finding Bigfoot"" television series... but they are about the closest thing I've heard to the sound I heard that night. The only other detail that stands out to this day is that we had a ""buffet"" of shrimp, chicken gizzards and livers, and cut up fish sitting on the tailgate of the truck."
2007.0,Florida,Volusia,"On the 19th of May 2007 at around 8:30 AM, My Wife and I were on our way to the local bait shop on the Flagler/Volusia county line in central Florida. Our usual route to this shop at Highbridge Rd. is via Old Dixie Hwy through Walter Boardman also known as ""the loop"". I was turning left off Old Dixie onto Walter Boardman and I looked ahead on the road and saw 2 vehicles approx. 1/2 mile in front of me on Walter Boardman. At that instant behind the vehicle  closest to me I saw a tall, dark figure on 2 legs swiftly cross the road from south to north. The figure that I saw was taller than the vehicle ahead of it and it appeared to cross the road in 3 or 4 stiff-legged strides. I said to my Wife ""did you see that""? She replied that she had not as she was looking for something in her purse, by that time it was already in the woods. I sped up to reach the area where the figure crossed the road, my Wife and I scanned the woods where it had disappeared and saw no trace of it. I knew right away that this was not a regular animal or man because it was extremely tall, dark and fast, although it did not appear to be running, the strides covered a great distance.We continued towards our destination and arrived at Bulow Plantation Ruins, a state park where we fish. We mentioned what I had seen to the Ranger who dismissed it as a black bear. I disagree, it was lean and too fast to be a bear walking on hind legs. I wish that I could have gotten a better look up close but I have and will continue to look carefully as I drive ""the loop"" for another sighting of this very interesting creature."
2005.0,Florida,Volusia,"BFRO,"
2008.0,Florida,Wakulla,"Me and my friend were going out into the woods to explore the Apalachicola National Forest, we heard the sound of a stream or creek so we went to go check it out. It was a small and shallow brook layered with 5-10 lbs rocks, so we washed off, cooled down and as we were leaving the brook it was out of sight but not sound, we heard some noises of rocks moving and colliding or being tossed into other rocks. We were nervous of a wild animal. As we approached we heard like a hog running off, only we caught a glimpse of an ape like mammal charging through and away from the brook. The rocks on the bank and in the water were moved and jumbled in a very distinct way.  Because of the leaves, there was no other prints except one upper left side of a left foot imprinted in the mud touching the water.  We tried to preserve it, but as we returned to the cars, the mud had fried and cracked, we had no camera, sorry."
2004.0,Florida,Washington,"IT  WAS AROUND 9:30 PM ON 8/8/04. I HEARD MY MINIATURE HORSES MAKING A RUCKUS IN THE YARD. EARLIER THAT DAY I HAD CLOSED THE FRONT GATE SO THEY COULD GRAZE IN THE YARD. IT WAS RAINING FAIRLY HARD AT THE TIME AND MY OUTSIDE FLOODLIGHT BY THE SHED/BARN AREA WAS NOT WORKING. I HAVE A  300 WATT FLOOD LIGHT ON THE BACK PORCH AND I PEERED THROUGH THE DOOR 12 INCH WINDOW AS I TURNED THE LIGHT ON. I OBSERVED WHAT APPEARED TO BE WHAT IN FLORIDA IS KNOWN AS A "" SKUNK APE "". IT WAS DIRECTLY STRAIGHT ACCROSS FROM THE PORCH ABOUT 40 TO 50 FEET OUT IN A SMALL AREA OF PINE TREES. IT STOOD ABOUT 7 TO 8 FOOT HIGH. AS I TURNED ON THE LIGHT IT LOOKED DIECTLY AT ME THEN TURNED TO THE RIGHT AND WALKED BACK INTO THE DARKNESS BEHIND AN OUTBUILDING THAT BLOCKED THE LIGHT. I COULDN'T BELIEVE WHAT I SAW AND TILL NOW I KEEP THINKING I'M GOING NUTS AND IT PROBABLY WAS A HORSE BUT MY HORSES ARE34 INCHES AND UNDER AND IT WAS ON MY SIDE OF A FENCE THAT RAN BEHIND THE SHAPE I SAW THE RAIN MADE IT SORT OF SHINE ON ITS ARM THAT SEEMED TO HANG I'D SAY TO THE KNEE AREA. TOTAL TIME I SAW IT WAS AROUND 2 TO 3 SECONDS BUT AS IT WALKED AWAY INTO THE DARK IT SEEMED TO KEEP LOOKING BACK AT ME."
2003.0,Florida,Washington,"I was driving, I just crossed  river  about  200 yards back when in front of me it crossed  the highway. It was on all fours,  trying to look  different. It took about 4 to 5 seconds  to cross the  highway. It was dark, red long hair."
2003.0,Florida,Washington,The witness' daughter originally submitted this report after he
2011.0,Georgia,Atkinson,"I commute daily to work driving 49 miles one way each day. My route is from Coffee County Georgia to Tift County Georgia. I've been commuting over a year now. The date was early November, 2011. The time was approximately 9:00 am. It was a clear, cool sunny day. I was on Hwy 82 West heading to Tifton when I was about a mile out of Willacoochee, Georgia, I looked over to the left, as I have always scanned the woods as I'm driving to work. I noticed at the edge of the opening in the woods, a very large creature just standing there. It was all covered in black hair and its arms were dangling to its sides, which is what made me notice it in the first place.I'd say it was over 8 feet tall. It was huge!! I think it saw me too, looking at it. When I first spotted this, I slammed on my brakes as I was getting ready to accelerate on the highway at that moment. Now because I had a medium strip between me and the other side I didn't have a chance to turn around and get over on the side of highway I'd seen it at. I had to get going onto work so I just kept going. I wish I would have turned around up the highway and went back and maybe it might have still been there. But I did not want to be late for work."
2007.0,Georgia,Atkinson,"I was in South Georgia at a Hunting Camp I had just joined that year.  I was leaving the camp site and driving throught the planted pines (maintained dirt roads) to go to my stand.  Directly behind camp is approx 30 - 50 acres that no one is allowed to hunt for safety purposes.  There is also a small pond in this area.  Driving about 1/4 mile from camp, I looked to my left in the pines and noticed something black.  I was approaching an intersection, so I slowed to see what would emerge from the woods.  To my surprsie, a black ""animal"" came out of the woods on all fours, angled 45 degrees away from me.  I tried to convince myself I was seeing a bear, or possibly a cow that got loose.  However, as I watched from 50 feet I noticed the complete absence of a tail.  I watched the animal in the open road, in broad day light for 10 seconds.  It came directly out of the woods, and ran down the road then crossed into the opposing woods and disappeared.  I could see that the rear legs appeared longer than the front, and the head was closer to the ground.  Also, as it ran on all fours the animal loped, with the slope of the back changing rather than remaining level.  As if the front was bouncing.  Further, the legs and rear were much too thin to be that of a bear.  Though I did not see the ""face"" - from the limited sight of the head, there were no clearly visible ears.  A bear's ears would be clearly visible.  I immediately thought of Sasquatch, however I was seeing an animal running on all fours... I have just seen the Jacobs photo - and that is the best way I can describe what I saw in South Georgia."
2003.0,Georgia,Atkinson,"I was playing paint ball with my son, and some kids he was freinds with, about summertime 2003. I had taken the youngest child(about 6) with me, and the other kids(mostly late teens) were looking for us. We were hiding in an overgrown ditch near our home, in a fairly populus, rural area. We both heard a strange groaning noise coming from the direction of some nearby appartments. The little boy I was with, was quite afraid, and wanted to go inside. I scared him so bad, he was crying. We went inside, and I told my wife, the boys mother, and the other kids about the sound. We all went into the yard, and heard the groans. I just listened to the Mississippi groans, and that was what i heard. I also checked to see if there was anymore sightings in my area, and I am about 25 miles from the Lanier county Georgia sighting."
2011.0,Georgia,Bartow,Ok well where to start my names XXXXX founder of a local paranormal group in Calhoun GA.
2006.0,Georgia,Bartow,"I am reporting this as a second hand report as my husband is the one who actually had the sighting. He is reluctant to share it with too many people and was stoutly a non believer in such things. He is a truck driver and was doing his usual Sunday courier run around 2:30 am to Tennessee. He was traveling on Hwy 75 North at exit 285, at Redtop Mountain, when he noticed a large biped figure walking into the tree line of the median between the southbound & northbound lanes. He said it was about 8 1/2 ft to 9 ft tall, greyish in color. He could not make out any other details. He only saw it because its movements caught his attention to that side of the road."
2008.0,Georgia,Berrien,"This past wednesday night I was watching TV in my game room above the garage. It was around twelve or twelve thirty when it sounded like something hit one of the garage doors. I waited about five seconds before I looked out the window because it freaked me out a little. I then looked out the window to see a large thing, well over six feet tall, covered in hair right below the window. The hair was almost dread like, it was long and matted. When I saw it it was already heading back into the woods. It was gone within two seconds."
2009.0,Georgia,Cherokee,"My girlfriend and I was returning home in the early morning hours, around 3am, on the date of June 28th 2009. I play lead guitar in a well known band in the Atlanta area. For this, it's late when I do come home. We live in a area that is very rural with lots of farming land and needless to say we are surrounded by woods. On this particular night we were less than a half of a mile from home. We were traveling past a pasture when I saw a figure cross the road in front of me. My girlfriend also seen it and asked me if I had saw it. I told her yes but that was the last we spoke of it untill later that day. We started describing to each other what we had seen and the first thing I told her that it looked to me like it had reddish colored hair. Then I said to her that I didn't want her to think I was crazy but it looked to me like it was walking on 2 legs...not 4. As I said this to her her I could see that she was shocked by what I told her. Then I asked her what she had seen. She had seen the same thing and even told me that whatever it was had reddish eyes. We saw a creature that stood about 6ft. Tall and moved rapidly from left to the right side of the road"
2009.0,Georgia,Cherokee,"At 8:12 pm on Saturday, Feb.14, 2009 my husband and I were in our upstairs bedroom with the windows open when we heard a very unusual sound from outside. I turned down the television and we listened at our open window and heard the sound again. It was an animal sound coming from the wooded areas around our house. I could only describe the sound as a monkey-like whooping sound. The animal made this series of whooping sounds only twice.The neighborhood dogs responded by barking. My husband quickly told me that he had heard unusual animal calls the night before while letting our dogs out in the yard."
2003.0,Georgia,Cherokee,Date: October 2003.
2009.0,Georgia,Clinch,"On October 7, 2009 at about 11:30 pm , my wife and I were returning to Weeki Wachee , Florida from a trip to North Carolina .  We were driving south on US 441 in an unpopulated area at about 65mph. We were about halfway between Homerville and Fargo  which is slightly west of the Okefenokee Swamp . It was very dark with very scant traffic and we were the only car in sight. There were no other lights visible anywhere and no houses or businesses anywhere around.  My wife had turned on the map light because we were getting low on gas and we needed to check the distance to the nearest probable area for gas. She was looking down at the map and didn't see it,  but she  sure smelled it.  Years before , we had been camping in the Okefenokee Swamp and were aware of the wildlife diversity. I have hunting , camping , and Brazilian jungle experience and I am not easily frightened, but this shook me up.   It was an instinctive reaction similar to when you have a surprise encounter with a poisonous snake."
2009.0,Georgia,Colquitt,"About a year ago, I was coming home from taking my grandmother to work.  We lived on a paved but heavily wooded road. There are numerous ponds and fields surrounding the area.  As came across the final curve in the road, something caught my eye.  Just on the inside of the ditch by the pond before my house stood a figure.  At first glance I would have thought my eyes to be playing tricks. I slowed down and stopped fearing that I was going to hit a large animal.  I seen this tall figure (roughly 6 feet to 7 feet in height)turn and stare at my headlights.  It was Auburn-Brown and had very wirey hair.  Its head was kinda of oblong like that of monkey.  The face was flat other than the wierd looking nose (looked like a squished pig nose).  Its eyes glowed red in the headlights.  Once I stopped, it immediately turned and crouched into the ditch below.  I was so scared of being attacked that I drove the half mile home, ran inside and told my parents all about it."
2007.0,Georgia,Coweta,"This incident was not my personal experience, but rather my moms, but she is not as good with computers as I am so I'm reporting it for her. She lives with me though, and can be reached at the info i will leave later. The occurance happen several years ago in a rural locaion close to our home. My mom was on her way home from a friends house that lives only a short drive from our home. It was late afternoon and she was coming around a curve in the road, when a tall (6-7) ft tall hairy biped slowly crossed the road in front of her car, almost causing her to wreck. She said it looked like a bear on two legs walking, with the face of a gorilla. The animal walked directly in front of the car without seeming to get in any hurry, even though she had to slam on the breaks to keep from hitting it. She said it only looked back at her once and never stoped walking.It then disappeared into the woods by a lake."
2003.0,Georgia,Coweta,"I was 19 years old at the time. My family and myself dont ever talk about what happened. It happened one evening in the woods in mid November of 2003. My grandfather owns about 4,000 acres in Coweta County. The land consists of a small cabin, some barns, 3 lakes, and lots of off road trails winding and criss crossing everywhere throughout the woods. My father, grandfather, uncle, and 1 cousin hunt the land as much as possible during the hunting season. We had our own 4 wheelers and would depart to our separate tree stands or specific areas to hunt each day. We have all hunted this land for a very long time, since i was 10 years old. Never before have any of us seen, heard ,or even thought about bigfoots being in these woods,ever!"
2011.0,Georgia,Crisp,Crossed highway in front of me.
2011.0,Georgia,Decatur,"While vacationing in south Georgia I decided to visit a remote forested area to listen to night sounds and make wildlife recordings. After sun set there were a lot of owls calling and several alligators growling from the nearby river. At one point I heard three wood knocks come from the forest, and as I continued to listen I heard two distant whoops."
2007.0,Georgia,Effingham,"While riding 4wheelers my wife and I and another couple decided to follow the railroad tracks to the next town. It was about a ten mile treck that goes through swamp and none of which is developed. I have never followed it before at night. At about halfway to the other town (Meldrim,Ga.) it looked as though the light at the far end of the tracks was getting brighter.We pulled off the side and backed up to the ditch that parallels the railroad bed to wait to see if the light got brighter.While waiting my wife and friends sat and talked and I climbed back onto the tracks on foot to watch the light. The plan was to wait ten minutes and if it didn't get brighter it was possibly a light from another source. After about five minutes my wife and her friend heard something moving progressively closer in the woods. Then large objects began falling around us. I looked at everyone asked had they heard it , then there was no doubt. Larger objects started coming down -large rocks ,large limbs. Many were landing in the water, not all in the same place , not all the same size, making huge splashes like bricks would make or larger. One then two,then multiple large things landing on both sides and on top of the tracks. Everyone with me by then was right beside me and none of them were playing a joke. Something was throwing stuff at us from the woods. I kept shining my flashlight but never saw what. These were big objects and there is no way any animal I am familliar with could have done this. I have hunted all my life and stay in the woods all the time but this truly freaked me out. As a side note when I used to stay with a friend at his house near the tracks on the Bloomingdale end his grandad used to tell us of howls that came from the woods down the swamp that he couldnt explain. He said they would sound like screaming I've always been skeptical of that but now I am not so sure."
2006.0,Georgia,Emanuel,"I was walking home from my boyfriend's house about an hour after dusk when I heard a very loud, very deep breath. I felt the vibration under my feet when it moved. I had startled it. I looked and saw a huge creature it was 8 or 9 ft. tall and had a huge head 3 times the size of a man's head and it stared at me as I passed by. I prayed and walked as fast as I could without running all the way home. This happened to me in 2006 in Summertown Georgia on Johnson Powell Drive. This is a true story. The most terrifying story of my life."
2004.0,Georgia,Emanuel,"I am mainly submitting this report to see if any one else has recently submitted a report in this location for the same date. On Thursday April 1st at around 9:00 a.m. myself wife and two sons were on our way to Hilton Head for spring break, We were also following my Parents. As we were coming down the hill on Hwy 16 East (about a mile from the Swainsboro exit) which is a four lane highway two lanes on each side seperated by a large median, most of the area in this part of middle GA is swamp or marsh. Fairly heavy traffic was around us too, which I should explain as about 3 cars right around us with about a hundred yard break and then at least 5 to 6 more. The group of cars is where this happened. The group of cars in front of us were approaching a wooded area in the median (which widens even furter at that point, and on either side of the highway was dense woods) at this point something came out of the woods on the right side of the road and sprinted across the road almost right in front of a semi. What was so strange was that this thing seem to clear 2 lanes in 2 steps. At his point I was trying to rationalize why a man would do this and not wait for a break in traffic. I watched leap in to the woods. At this point I looked at my wife and and without a word she looked back and said did you see that. I immediatley called my parents in front of us and my mom answered the phone and her first words did you see that and what was it. All i can tell you is it moved at lightening speed my wife said she saw it go across the other 2 lanes. But we all had the same conclusion it was large because you could see the comparison of its head as it seemed to run in front of a long nosed Peterbuilt semi. Another oddity is that it ws completely black from head to toe."
2009.0,Georgia,Fayette,"I was driving home from  work at about 11:00pm. As I rounded a curve in the road I saw something walking across the road in front of me. It was tall, not slim but not thick and covered in grayish - brownish hair. It never turned to look at me and just loped across the road and off in the dark. I was traveling about 40 mph and slowed quite a bit to ensure it would make it across without me hitting it."
2011.0,Georgia,Floyd,"On the recommendation of Mr, Pruitt and Mr. Morris i tried some tree knocking . I took my 15 year-old daughter because she thinks all of this is nonsense what better than a bias opinion i thought. well i got several responses. Something in the woods tonight knocked back. Upon the first three in return my daughter about jumped out of her shoes."
2005.0,Georgia,Floyd,My mother one night heard a whistle sound about 2am. So we went out to see if somebody was out back. We had a pool deck that was a good 8ft. off the ground. When I stepped up on the step something came toward me so I back up to the front door and shined the flash light out back and it was a good 2ft above the deck with red eyes. It kept movin its head around tryin to get the light out of its eyes. Then it start walking away it would turn and kept looking back a us. When it moved behind my neighbor shed it stop and stick its head out from behind the shed. It was like it was seeing if we was going to follow it.
2005.0,Georgia,Floyd,"About two years ago I was riding my bicycle with a friend of mine out in a rural area. Just out side of Calhoun, and just barely over the county line in to Walker County. I heard what sounded like heavy wood knocks. Big loud ones. At the time I just thought maybe someone was building something off in the woods. But now Im more inclined to believe that it could have been a Sasquatch. Because there was nothing but woods, and fields in the section of the road where I heard the noises come from. I havent rode out there in a long while either so nothing further to report. My friend that I was riding with would have no recall of the incident. Like I said just sounded like building going on."
2012.0,Georgia,Habersham,NOTICE: We are unsure of what we've seen!
2006.0,Georgia,Hall,"It was around 11pm december 31st 2006. I had just got back from a 9 hour drive from florida and I was sitting on the couch with my uncle watching the end of the bears packers game. My sons mother called and I was talking to her when i heard a sound at the window. The only way to discribe it is a hooting sound something like a monkey. Since the lights were on in the house I couldnt see outside so I looked over to my uncle to see if he was messing with me. He was looking out the window and thought I made the noise. Then he jumped up and said ""Did you see that""? I looked over to the window and saw the bush moving outside. He grabed one of his guns we were planning on shooting at midnight and ran outside. Once he got outside he could see more movement at the end of the house and I heard a grunting noise near my sisters window. It sounded like it came from a big animal, sounding something like uhhhh uhhhh. His dog max heard my uncle yelling whos there and ran around to the front where he was. As soon as max got there he stopped barking and whimpered as he backed up to my uncle. The dog wouldnt get near the side of the house. We didn't hear or see anything for a while so went back inside. When we came back out at midnight we heard some noises but they were far off. Except for that, we didnt hear anything else all night."
2006.0,Georgia,Haralson,"My family has an 800 acre farm in Haralson County, GA.  Our farm is on the border of Paulding County, GA., near the small ""town"" of Draketown (it's more of a settlement than a town).  We typically spend about one weekend out of the month at our farm where we have a nice cabin (house).  The land consists of pasture (no cattle), pines, hardwoods, swamp, and five pretty large lakes.  Whenever we are down there we go spotlighting at night to look at deer.  We don't hunt the deer on our land and usually see 50-80 deer a night just riding around and looking at them.  Being only about 1.5 hours from Atlanta this area is EXTREMELY remote and secluded.  It's all private land and not much activity occurs around there."
2006.0,Georgia,Lanier,"It was 2:35 in the morning on July 26, 2006. I recieved a call from my dad which alone is very unusual to say the least. He started by saying ""you are not going to  believe  what i just saw"". He said he steped out onto his porch(which  wraps around his house) to sit in his chair and have a smoke. He got about half way through with it when he said he heard the most terrifying sound ever. He  stepped in the door and grabbed a MAG light to take a look and when he did he saw a sillouette of a bipedal creature approx 8 foot tall and 75 yards away stand up near the pond and quickly run towards the neibors house which is to the right and behind him. At this point my dad is completely freaked out. He hears the loud moan again 3 more times each time getting softer in the distance. He then wakes my mother (who thinks he just lost his marbles) and she comes outside with him. She also hears the moan and a gun shot approx the same distance away but at this point it is an estimatted 1 mile away. This is when  he calls me and describes what happened. I get in my truck and go overe to their house to take a look around with him. Whatever it was is long gone by the time i get there and we just look  around to put both  my mom and dad somewhat at ease. The  reason i am writing this instead of my dad is 1) he dont t know how to use a computer and 2) i felt a report needed to be  made and i doubt he would ever do it. I can  tell you that i have never seen or heard my dad so scared in my life."
